# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "4" "-a" "/home/sxy/rnaseq_project/reference/ecoli.gtf" "-o" "/home/sxy/rnaseq_project/results/counts/Ecoli_counts_CDS.txt" "-g" "transcript_id" "-t" "CDS" "-p" "/home/sxy/rnaseq_project/results/aligned/Ecoli_Aligned.sortedByCoord.out.bam" 						
Geneid	Chr	Start	End	Strand	Length	/home/sxy/rnaseq_project/results/aligned/Ecoli_Aligned.sortedByCoord.out.bam
gene-FAZ85_RS00005	NZ_SSTT01000001.1	77	1156	-	1080	0
gene-FAZ85_RS00010	NZ_SSTT01000001.1	1227	1703	-	477	212
gene-FAZ85_RS00015	NZ_SSTT01000001.1	1700	2266	-	567	629
gene-FAZ85_RS00020	NZ_SSTT01000001.1	2576	4348	+	1773	1996
gene-FAZ85_RS00025	NZ_SSTT01000001.1	4466	4918	+	453	498
gene-FAZ85_RS00030	NZ_SSTT01000001.1	4947	5687	+	741	808
gene-FAZ85_RS00035	NZ_SSTT01000001.1	5722	6243	+	522	493
gene-FAZ85_RS00040	NZ_SSTT01000001.1	6245	6847	-	603	957
gene-FAZ85_RS00045	NZ_SSTT01000001.1	6918	6983	+	66	153
gene-FAZ85_RS00050	NZ_SSTT01000001.1	7122	7733	+	612	710
gene-FAZ85_RS00055	NZ_SSTT01000001.1	7742	8752	+	1011	917
gene-FAZ85_RS00060	NZ_SSTT01000001.1	8899	9684	-	786	1037
gene-FAZ85_RS00065	NZ_SSTT01000001.1	9681	10436	-	756	1162
gene-FAZ85_RS00070	NZ_SSTT01000001.1	10515	11447	+	933	1415
gene-FAZ85_RS00075	NZ_SSTT01000001.1	11463	12785	+	1323	1710
gene-FAZ85_RS00080	NZ_SSTT01000001.1	12905	13876	+	972	1044
gene-FAZ85_RS00085	NZ_SSTT01000001.1	14007	15449	-	1443	1785
gene-FAZ85_RS00090	NZ_SSTT01000001.1	15577	16446	-	870	1473
gene-FAZ85_RS00095	NZ_SSTT01000001.1	16784	18259	+	1476	2037
gene-FAZ85_RS00100	NZ_SSTT01000001.1	18494	20305	+	1812	1957
gene-FAZ85_RS00105	NZ_SSTT01000001.1	20342	20983	+	642	647
gene-FAZ85_RS00110	NZ_SSTT01000001.1	21039	22217	-	1179	1309
gene-FAZ85_RS00115	NZ_SSTT01000001.1	22351	22641	+	291	432
gene-FAZ85_RS00120	NZ_SSTT01000001.1	22708	23064	+	357	533
gene-FAZ85_RS00125	NZ_SSTT01000001.1	23391	24050	+	660	757
gene-FAZ85_RS00130	NZ_SSTT01000001.1	24259	26319	+	2061	2723
gene-FAZ85_RS00135	NZ_SSTT01000001.1	26316	26978	-	663	688
gene-FAZ85_RS00140	NZ_SSTT01000001.1	27002	27658	-	657	886
gene-FAZ85_RS00145	NZ_SSTT01000001.1	27760	27990	-	231	382
gene-FAZ85_RS00150	NZ_SSTT01000001.1	28129	28503	+	375	555
gene-FAZ85_RS00155	NZ_SSTT01000001.1	28507	29379	+	873	1012
gene-FAZ85_RS00160	NZ_SSTT01000001.1	29392	29733	+	342	570
gene-FAZ85_RS00165	NZ_SSTT01000001.1	30129	30785	+	657	1090
gene-FAZ85_RS00170	NZ_SSTT01000001.1	30786	30977	-	192	312
gene-FAZ85_RS00175	NZ_SSTT01000001.1	31082	31318	-	237	459
gene-FAZ85_RS00180	NZ_SSTT01000001.1	31436	32875	-	1440	2026
gene-FAZ85_RS00185	NZ_SSTT01000001.1	32955	35588	-	2634	2855
gene-FAZ85_RS00190	NZ_SSTT01000001.1	35557	36840	-	1284	1751
gene-FAZ85_RS00195	NZ_SSTT01000001.1	36970	37467	+	498	774
gene-FAZ85_RS00200	NZ_SSTT01000001.1	37564	38262	+	699	946
gene-FAZ85_RS00205	NZ_SSTT01000001.1	38282	40330	+	2049	2765
gene-FAZ85_RS00210	NZ_SSTT01000001.1	40522	41403	+	882	1093
gene-FAZ85_RS00215	NZ_SSTT01000001.1	41449	42822	-	1374	1824
gene-FAZ85_RS00220	NZ_SSTT01000001.1	42999	43790	+	792	1381
gene-FAZ85_RS00225	NZ_SSTT01000001.1	43933	44172	-	240	561
gene-FAZ85_RS00230	NZ_SSTT01000001.1	44331	44474	+	144	438
gene-FAZ85_RS00235	NZ_SSTT01000001.1	44549	44836	+	288	698
gene-FAZ85_RS00240	NZ_SSTT01000001.1	45505	45648	+	144	239
gene-FAZ85_RS00245	NZ_SSTT01000001.1	45661	45870	+	210	394
gene-FAZ85_RS00250	NZ_SSTT01000001.1	46036	46845	+	810	984
gene-FAZ85_RS00255	NZ_SSTT01000001.1	46842	47408	-	567	766
gene-FAZ85_RS00260	NZ_SSTT01000001.1	47837	48295	-	459	897
gene-FAZ85_RS00265	NZ_SSTT01000001.1	48350	49201	-	852	1214
gene-FAZ85_RS00270	NZ_SSTT01000001.1	49214	50014	-	801	1288
gene-FAZ85_RS00275	NZ_SSTT01000001.1	50077	51048	-	972	1518
gene-FAZ85_RS26260	NZ_SSTT01000001.1	51365	51523	+	159	237
gene-FAZ85_RS00280	NZ_SSTT01000001.1	51511	53067	+	1557	1708
gene-FAZ85_RS00285	NZ_SSTT01000001.1	53071	54669	-	1599	1922
gene-FAZ85_RS00290	NZ_SSTT01000001.1	54800	56164	-	1365	1419
gene-FAZ85_RS00295	NZ_SSTT01000001.1	56348	56926	-	579	666
gene-FAZ85_RS00300	NZ_SSTT01000001.1	56930	58291	-	1362	1637
gene-FAZ85_RS00305	NZ_SSTT01000001.1	58365	58544	+	180	336
gene-FAZ85_RS00310	NZ_SSTT01000001.1	58664	58963	-	300	554
gene-FAZ85_RS00315	NZ_SSTT01000001.1	59386	59730	-	345	552
gene-FAZ85_RS00320	NZ_SSTT01000001.1	59862	61772	+	1911	1819
gene-FAZ85_RS00325	NZ_SSTT01000001.1	61830	62525	+	696	639
gene-FAZ85_RS00330	NZ_SSTT01000001.1	62565	63146	+	582	649
gene-FAZ85_RS00335	NZ_SSTT01000001.1	63351	65036	+	1686	2042
gene-FAZ85_RS00340	NZ_SSTT01000001.1	65118	66233	+	1116	1263
gene-FAZ85_RS00345	NZ_SSTT01000001.1	66287	67252	-	966	1328
gene-FAZ85_RS00350	NZ_SSTT01000001.1	67308	68432	-	1125	1434
gene-FAZ85_RS00355	NZ_SSTT01000001.1	68464	70074	-	1611	1961
gene-FAZ85_RS00360	NZ_SSTT01000001.1	70325	71410	-	1086	1368
gene-FAZ85_RS00365	NZ_SSTT01000001.1	71513	72436	+	924	1238
gene-FAZ85_RS00370	NZ_SSTT01000001.1	72563	73201	+	639	1174
gene-FAZ85_RS00375	NZ_SSTT01000001.1	73374	73733	+	360	589
gene-FAZ85_RS00380	NZ_SSTT01000001.1	73737	73919	+	183	313
gene-FAZ85_RS00385	NZ_SSTT01000001.1	74067	74315	+	249	499
gene-FAZ85_RS00390	NZ_SSTT01000001.1	74374	74448	-	75	139
gene-FAZ85_RS00395	NZ_SSTT01000001.1	74451	74549	-	99	189
gene-FAZ85_RS00400	NZ_SSTT01000001.1	74582	75607	-	1026	1617
gene-FAZ85_RS00405	NZ_SSTT01000001.1	75790	76044	+	255	304
gene-FAZ85_RS00410	NZ_SSTT01000001.1	76066	76413	-	348	373
gene-FAZ85_RS00415	NZ_SSTT01000001.1	76468	77649	-	1182	1202
gene-FAZ85_RS00420	NZ_SSTT01000001.1	77746	78567	+	822	1029
gene-FAZ85_RS00425	NZ_SSTT01000001.1	78524	78970	-	447	522
gene-FAZ85_RS00430	NZ_SSTT01000001.1	79139	79243	+	105	177
gene-FAZ85_RS00435	NZ_SSTT01000001.1	79244	79747	-	504	756
gene-FAZ85_RS00440	NZ_SSTT01000001.1	79790	81280	-	1491	1709
gene-FAZ85_RS00445	NZ_SSTT01000001.1	81461	82936	-	1476	2722
gene-FAZ85_RS00450	NZ_SSTT01000001.1	83083	84366	-	1284	1817
gene-FAZ85_RS00455	NZ_SSTT01000001.1	84479	86413	-	1935	2854
gene-FAZ85_RS00460	NZ_SSTT01000001.1	86849	87595	+	747	1045
gene-FAZ85_RS00465	NZ_SSTT01000001.1	87685	88539	+	855	1160
gene-FAZ85_RS00470	NZ_SSTT01000001.1	88590	89474	-	885	1263
gene-FAZ85_RS00475	NZ_SSTT01000001.1	89558	90553	-	996	1498
gene-FAZ85_RS00480	NZ_SSTT01000001.1	90895	91308	+	414	566
gene-FAZ85_RS00485	NZ_SSTT01000001.1	91350	91622	+	273	182
gene-FAZ85_RS00490	NZ_SSTT01000001.1	91783	92424	-	642	367
gene-FAZ85_RS00495	NZ_SSTT01000001.1	92435	93451	-	1017	1272
gene-FAZ85_RS00500	NZ_SSTT01000001.1	93618	95474	-	1857	2169
gene-FAZ85_RS00505	NZ_SSTT01000001.1	95635	96186	+	552	728
gene-FAZ85_RS00510	NZ_SSTT01000001.1	96303	97346	+	1044	808
gene-FAZ85_RS00515	NZ_SSTT01000001.1	97351	99312	+	1962	1895
gene-FAZ85_RS00520	NZ_SSTT01000001.1	99440	100480	+	1041	1941
gene-FAZ85_RS00525	NZ_SSTT01000001.1	100597	101940	-	1344	1622
gene-FAZ85_RS00530	NZ_SSTT01000001.1	102176	102448	+	273	301
gene-FAZ85_RS00535	NZ_SSTT01000001.1	102414	102821	-	408	334
gene-FAZ85_RS00540	NZ_SSTT01000001.1	102908	103528	+	621	515
gene-FAZ85_RS00545	NZ_SSTT01000001.1	103537	104844	-	1308	1322
gene-FAZ85_RS00550	NZ_SSTT01000001.1	104911	105564	-	654	713
gene-FAZ85_RS00555	NZ_SSTT01000001.1	105564	107099	-	1536	756
gene-FAZ85_RS00560	NZ_SSTT01000001.1	107072	108238	-	1167	779
gene-FAZ85_RS00565	NZ_SSTT01000001.1	108248	108796	-	549	498
gene-FAZ85_RS00570	NZ_SSTT01000001.1	108796	109503	-	708	631
gene-FAZ85_RS00575	NZ_SSTT01000001.1	109518	110195	-	678	802
gene-FAZ85_RS00580	NZ_SSTT01000001.1	110200	110910	-	711	1071
gene-FAZ85_RS00585	NZ_SSTT01000001.1	111077	111883	-	807	1126
gene-FAZ85_RS00590	NZ_SSTT01000001.1	112329	113549	+	1221	1052
gene-FAZ85_RS00595	NZ_SSTT01000001.1	113546	114580	+	1035	810
gene-FAZ85_RS00600	NZ_SSTT01000001.1	114577	116055	+	1479	931
gene-FAZ85_RS00605	NZ_SSTT01000001.1	116052	117395	+	1344	1138
gene-FAZ85_RS00610	NZ_SSTT01000001.1	117388	118356	+	969	1059
gene-FAZ85_RS00615	NZ_SSTT01000001.1	118686	119171	+	486	761
gene-FAZ85_RS00620	NZ_SSTT01000001.1	119374	119949	+	576	585
gene-FAZ85_RS00625	NZ_SSTT01000001.1	119909	120796	-	888	876
gene-FAZ85_RS00630	NZ_SSTT01000001.1	121026	121853	-	828	1101
gene-FAZ85_RS00635	NZ_SSTT01000001.1	122055	122393	+	339	589
gene-FAZ85_RS00645	NZ_SSTT01000001.1	122692	123012	+	321	642
gene-FAZ85_RS00650	NZ_SSTT01000001.1	123097	124455	+	1359	1881
gene-FAZ85_RS00655	NZ_SSTT01000001.1	124506	124856	+	351	587
gene-FAZ85_RS00660	NZ_SSTT01000001.1	124864	125706	+	843	1625
gene-FAZ85_RS00665	NZ_SSTT01000001.1	125810	127162	+	1353	2073
gene-FAZ85_RS00670	NZ_SSTT01000001.1	127175	127933	+	759	542
gene-FAZ85_RS00675	NZ_SSTT01000001.1	127980	130241	-	2262	2628
gene-FAZ85_RS00680	NZ_SSTT01000001.1	130424	130687	+	264	481
gene-FAZ85_RS00685	NZ_SSTT01000001.1	130976	131779	+	804	1133
gene-FAZ85_RS00690	NZ_SSTT01000001.1	131783	133174	-	1392	1897
gene-FAZ85_RS00695	NZ_SSTT01000001.1	133307	133897	-	591	901
gene-FAZ85_RS00700	NZ_SSTT01000001.1	134060	134728	-	669	1019
gene-FAZ85_RS00705	NZ_SSTT01000001.1	134875	135411	+	537	985
gene-FAZ85_RS00710	NZ_SSTT01000001.1	135452	136312	-	861	1376
gene-FAZ85_RS00715	NZ_SSTT01000001.1	136418	136708	-	291	520
gene-FAZ85_RS00720	NZ_SSTT01000001.1	136809	137738	-	930	1223
gene-FAZ85_RS00725	NZ_SSTT01000001.1	138025	138783	+	759	1272
gene-FAZ85_RS00730	NZ_SSTT01000001.1	138836	138943	-	108	207
gene-FAZ85_RS00735	NZ_SSTT01000001.1	139119	140988	-	1870	3624
gene-FAZ85_RS00740	NZ_SSTT01000001.1	141512	143440	+	1929	2749
gene-FAZ85_RS00745	NZ_SSTT01000001.1	143444	143986	+	543	825
gene-FAZ85_RS00750	NZ_SSTT01000001.1	144083	144280	+	198	384
gene-FAZ85_RS00755	NZ_SSTT01000001.1	144333	144689	+	357	617
gene-FAZ85_RS25520	NZ_SSTT01000001.1	144812	144856	+	45	132
gene-FAZ85_RS00765	NZ_SSTT01000001.1	145140	146123	+	984	970
gene-FAZ85_RS00770	NZ_SSTT01000001.1	146138	148525	+	2388	2268
gene-FAZ85_RS00775	NZ_SSTT01000001.1	148530	148829	+	300	369
gene-FAZ85_RS00780	NZ_SSTT01000001.1	148930	149910	+	981	1074
gene-FAZ85_RS00785	NZ_SSTT01000001.1	149973	150524	+	552	692
gene-FAZ85_RS00790	NZ_SSTT01000001.1	150524	151273	+	750	827
gene-FAZ85_RS00795	NZ_SSTT01000001.1	151351	151815	+	465	717
gene-FAZ85_RS00800	NZ_SSTT01000001.1	152062	152775	+	714	1401
gene-FAZ85_RS00805	NZ_SSTT01000001.1	152838	154274	+	1437	1838
gene-FAZ85_RS00810	NZ_SSTT01000001.1	154278	154469	-	192	320
gene-FAZ85_RS00815	NZ_SSTT01000001.1	154601	155647	-	1047	1194
gene-FAZ85_RS00820	NZ_SSTT01000001.1	155804	156637	-	834	1173
gene-FAZ85_RS00825	NZ_SSTT01000001.1	156970	159348	+	2379	2388
gene-FAZ85_RS00830	NZ_SSTT01000001.1	159405	161051	-	1647	2039
gene-FAZ85_RS00835	NZ_SSTT01000001.1	161108	161401	-	294	304
gene-FAZ85_RS00840	NZ_SSTT01000001.1	161398	162687	-	1290	1160
gene-FAZ85_RS00845	NZ_SSTT01000001.1	162743	163681	-	939	877
gene-FAZ85_RS00850	NZ_SSTT01000001.1	163701	164465	-	765	1024
gene-FAZ85_RS00855	NZ_SSTT01000001.1	164781	165692	+	912	1655
gene-FAZ85_RS00860	NZ_SSTT01000001.1	165735	166886	-	1152	1539
gene-FAZ85_RS00865	NZ_SSTT01000001.1	166900	168495	-	1596	2346
gene-FAZ85_RS00870	NZ_SSTT01000001.1	168640	169398	-	759	1069
gene-FAZ85_RS00875	NZ_SSTT01000001.1	169429	170295	-	867	1250
gene-FAZ85_RS00880	NZ_SSTT01000001.1	170307	171572	-	1266	2213
gene-FAZ85_RS00885	NZ_SSTT01000001.1	171799	173013	-	1215	2435
gene-FAZ85_RS00890	NZ_SSTT01000001.1	173113	173469	-	357	771
gene-FAZ85_RS00900	NZ_SSTT01000001.1	173898	175010	-	1113	1220
gene-FAZ85_RS00905	NZ_SSTT01000001.1	175399	178455	+	3057	2724
gene-FAZ85_RS00910	NZ_SSTT01000001.1	178452	178862	+	411	559
gene-FAZ85_RS00915	NZ_SSTT01000001.1	178962	179150	+	189	399
gene-FAZ85_RS00920	NZ_SSTT01000001.1	179699	180067	+	369	557
gene-FAZ85_RS00925	NZ_SSTT01000001.1	180076	181563	+	1488	1694
gene-FAZ85_RS00930	NZ_SSTT01000001.1	181573	182319	+	747	861
gene-FAZ85_RS00935	NZ_SSTT01000001.1	182294	183565	+	1272	1029
gene-FAZ85_RS00940	NZ_SSTT01000001.1	183562	184782	+	1221	1096
gene-FAZ85_RS00945	NZ_SSTT01000001.1	184795	185211	+	417	579
gene-FAZ85_RS00950	NZ_SSTT01000001.1	185360	186364	+	1005	1432
gene-FAZ85_RS00955	NZ_SSTT01000001.1	186428	186664	-	237	465
gene-FAZ85_RS00960	NZ_SSTT01000001.1	186975	188387	-	1413	2279
gene-FAZ85_RS25960	NZ_SSTT01000001.1	188395	188589	-	195	348
gene-FAZ85_RS00965	NZ_SSTT01000001.1	188943	189152	+	210	474
gene-FAZ85_RS00970	NZ_SSTT01000001.1	189608	190234	+	627	977
gene-FAZ85_RS00975	NZ_SSTT01000001.1	190255	192357	+	2103	3049
gene-FAZ85_RS00980	NZ_SSTT01000001.1	192370	193008	+	639	787
gene-FAZ85_RS00985	NZ_SSTT01000001.1	193072	193740	+	669	865
gene-FAZ85_RS00990	NZ_SSTT01000001.1	193737	194522	+	786	996
gene-FAZ85_RS00995	NZ_SSTT01000001.1	194526	195338	+	813	804
gene-FAZ85_RS01000	NZ_SSTT01000001.1	195350	196954	-	1605	2463
gene-FAZ85_RS01005	NZ_SSTT01000001.1	197080	197385	-	306	628
gene-FAZ85_RS01020	NZ_SSTT01000001.1	197958	199214	+	1257	1940
gene-FAZ85_RS01025	NZ_SSTT01000001.1	199255	200628	-	1374	1634
gene-FAZ85_RS01030	NZ_SSTT01000001.1	200843	201484	+	642	1062
gene-FAZ85_RS01035	NZ_SSTT01000001.1	201524	202672	-	1149	1865
gene-FAZ85_RS01040	NZ_SSTT01000001.1	202963	204174	-	1212	1447
gene-FAZ85_RS01045	NZ_SSTT01000001.1	204287	205219	+	933	899
gene-FAZ85_RS01050	NZ_SSTT01000001.1	205216	206241	-	1026	1090
gene-FAZ85_RS01055	NZ_SSTT01000001.1	206540	206629	+	90	186
gene-FAZ85_RS01060	NZ_SSTT01000001.1	206795	207964	+	1170	1396
gene-FAZ85_RS01065	NZ_SSTT01000001.1	208110	208691	-	582	915
gene-FAZ85_RS01070	NZ_SSTT01000001.1	208819	209634	-	816	1390
gene-FAZ85_RS01075	NZ_SSTT01000001.1	209968	210315	+	348	457
gene-FAZ85_RS01080	NZ_SSTT01000001.1	210366	214982	-	4617	3647
gene-FAZ85_RS01085	NZ_SSTT01000001.1	215075	215722	-	648	582
gene-FAZ85_RS01090	NZ_SSTT01000001.1	215825	216232	-	408	523
gene-FAZ85_RS01095	NZ_SSTT01000001.1	216313	217375	-	1063	1245
gene-FAZ85_RS01100	NZ_SSTT01000001.1	217412	218011	-	600	816
gene-FAZ85_RS01105	NZ_SSTT01000001.1	218114	218353	+	240	367
gene-FAZ85_RS01110	NZ_SSTT01000001.1	218402	219298	+	897	1049
gene-FAZ85_RS01115	NZ_SSTT01000001.1	219379	219900	+	522	566
gene-FAZ85_RS01120	NZ_SSTT01000001.1	219901	221913	-	2013	2029
gene-FAZ85_RS01125	NZ_SSTT01000001.1	221913	222770	-	858	990
gene-FAZ85_RS01130	NZ_SSTT01000001.1	222773	223009	-	237	415
gene-FAZ85_RS01135	NZ_SSTT01000001.1	223210	223644	+	435	710
gene-FAZ85_RS01140	NZ_SSTT01000001.1	223691	224158	-	468	751
gene-FAZ85_RS01145	NZ_SSTT01000001.1	224432	225541	+	1110	1276
gene-FAZ85_RS01150	NZ_SSTT01000001.1	225639	225968	+	330	449
gene-FAZ85_RS01155	NZ_SSTT01000001.1	226027	226683	+	657	853
gene-FAZ85_RS01160	NZ_SSTT01000001.1	226812	228086	+	1275	1820
gene-FAZ85_RS01165	NZ_SSTT01000001.1	228145	229008	+	864	1045
gene-FAZ85_RS01170	NZ_SSTT01000001.1	229052	229657	-	606	882
gene-FAZ85_RS01175	NZ_SSTT01000001.1	229763	231265	-	1503	1961
gene-FAZ85_RS01180	NZ_SSTT01000001.1	231876	232511	-	636	986
gene-FAZ85_RS01185	NZ_SSTT01000001.1	232511	233206	-	696	817
gene-FAZ85_RS01190	NZ_SSTT01000001.1	233210	233830	-	621	541
gene-FAZ85_RS01195	NZ_SSTT01000001.1	233834	234892	-	1059	996
gene-FAZ85_RS01200	NZ_SSTT01000001.1	234893	237019	-	2127	2012
gene-FAZ85_RS01205	NZ_SSTT01000001.1	237012	237590	-	579	544
gene-FAZ85_RS01210	NZ_SSTT01000001.1	237590	238171	-	582	691
gene-FAZ85_RS01215	NZ_SSTT01000001.1	238248	238688	-	441	732
gene-FAZ85_RS01220	NZ_SSTT01000001.1	238774	238989	-	216	446
gene-FAZ85_RS01225	NZ_SSTT01000001.1	239262	239387	-	126	304
gene-FAZ85_RS01230	NZ_SSTT01000001.1	239630	240670	+	1041	1322
gene-FAZ85_RS01235	NZ_SSTT01000001.1	240705	241706	-	1002	1248
gene-FAZ85_RS01240	NZ_SSTT01000001.1	241810	242982	-	1173	1576
gene-FAZ85_RS01245	NZ_SSTT01000001.1	242992	244584	-	1593	1597
gene-FAZ85_RS01250	NZ_SSTT01000001.1	244759	245787	+	1029	1327
gene-FAZ85_RS01255	NZ_SSTT01000001.1	245899	246666	+	768	1218
gene-FAZ85_RS01260	NZ_SSTT01000001.1	246895	247485	+	591	910
gene-FAZ85_RS01265	NZ_SSTT01000001.1	247874	249685	+	1812	2244
gene-FAZ85_RS01270	NZ_SSTT01000001.1	249682	251055	+	1374	1847
gene-FAZ85_RS01275	NZ_SSTT01000001.1	251094	252359	+	1266	1881
gene-FAZ85_RS01280	NZ_SSTT01000001.1	252404	253912	-	1509	2155
gene-FAZ85_RS01285	NZ_SSTT01000001.1	254013	255188	-	1176	1593
gene-FAZ85_RS01290	NZ_SSTT01000001.1	255387	257033	+	1647	1992
gene-FAZ85_RS01295	NZ_SSTT01000001.1	257176	258579	+	1404	1635
gene-FAZ85_RS01300	NZ_SSTT01000001.1	258576	259505	-	930	1114
gene-FAZ85_RS01305	NZ_SSTT01000001.1	259581	260882	-	1302	1702
gene-FAZ85_RS01310	NZ_SSTT01000001.1	260886	261605	-	720	1012
gene-FAZ85_RS01315	NZ_SSTT01000001.1	261734	262069	+	336	475
gene-FAZ85_RS01320	NZ_SSTT01000001.1	262066	262788	-	723	896
gene-FAZ85_RS01325	NZ_SSTT01000001.1	262825	264207	-	1383	1485
gene-FAZ85_RS01330	NZ_SSTT01000001.1	264393	265337	-	945	1333
gene-FAZ85_RS01335	NZ_SSTT01000001.1	265861	267393	+	1533	1790
gene-FAZ85_RS01340	NZ_SSTT01000001.1	267404	268792	+	1389	1489
gene-FAZ85_RS01345	NZ_SSTT01000001.1	268817	269851	-	1035	1371
gene-FAZ85_RS01355	NZ_SSTT01000001.1	270263	270628	+	366	592
gene-FAZ85_RS01360	NZ_SSTT01000001.1	270615	270944	+	330	413
gene-FAZ85_RS01365	NZ_SSTT01000001.1	270983	271804	-	822	997
gene-FAZ85_RS01370	NZ_SSTT01000001.1	271904	271987	-	84	174
gene-FAZ85_RS01375	NZ_SSTT01000001.1	272080	272388	-	309	516
gene-FAZ85_RS26395	NZ_SSTT01000001.1	272659	272763	+	105	229
gene-FAZ85_RS01380	NZ_SSTT01000001.1	272812	274065	-	1254	1609
gene-FAZ85_RS01385	NZ_SSTT01000001.1	274172	275065	+	894	1105
gene-FAZ85_RS01390	NZ_SSTT01000001.1	275200	276420	+	1221	1631
gene-FAZ85_RS01395	NZ_SSTT01000001.1	276545	277240	+	696	863
gene-FAZ85_RS01400	NZ_SSTT01000001.1	277193	278485	-	1293	1204
gene-FAZ85_RS01405	NZ_SSTT01000001.1	278644	279258	-	615	711
gene-FAZ85_RS01410	NZ_SSTT01000001.1	279301	280155	-	855	896
gene-FAZ85_RS01415	NZ_SSTT01000001.1	280157	280774	-	618	516
gene-FAZ85_RS01420	NZ_SSTT01000001.1	280785	283208	-	2424	3152
gene-FAZ85_RS01425	NZ_SSTT01000001.1	283269	285695	-	2427	3183
gene-FAZ85_RS01430	NZ_SSTT01000001.1	285894	286199	-	306	440
gene-FAZ85_RS01435	NZ_SSTT01000001.1	286307	287017	+	711	1257
gene-FAZ85_RS01440	NZ_SSTT01000001.1	287020	287580	-	561	867
gene-FAZ85_RS01445	NZ_SSTT01000001.1	287615	287956	-	342	559
gene-FAZ85_RS01450	NZ_SSTT01000001.1	288091	288417	+	327	491
gene-FAZ85_RS01455	NZ_SSTT01000001.1	288623	289837	+	1215	1731
gene-FAZ85_RS01460	NZ_SSTT01000001.1	289849	290868	+	1020	1747
gene-FAZ85_RS01470	NZ_SSTT01000001.1	291056	292336	-	1281	1811
gene-FAZ85_RS01475	NZ_SSTT01000001.1	292371	292622	-	252	0
gene-FAZ85_RS01480	NZ_SSTT01000001.1	292695	295166	-	2472	906
gene-FAZ85_RS01485	NZ_SSTT01000001.1	295260	295451	-	192	208
gene-FAZ85_RS01490	NZ_SSTT01000001.1	295448	295636	-	189	168
gene-FAZ85_RS01495	NZ_SSTT01000001.1	295720	295962	+	243	27
gene-FAZ85_RS01500	NZ_SSTT01000001.1	295943	296908	+	966	0
gene-FAZ85_RS01505	NZ_SSTT01000001.1	296949	297371	+	423	0
gene-FAZ85_RS01510	NZ_SSTT01000001.1	297501	298445	-	945	0
gene-FAZ85_RS01515	NZ_SSTT01000001.1	298993	300342	-	1350	0
gene-FAZ85_RS01520	NZ_SSTT01000001.1	300660	301262	+	603	0
gene-FAZ85_RS01525	NZ_SSTT01000001.1	301622	302602	+	981	1
gene-FAZ85_RS01540	NZ_SSTT01000001.1	303331	303486	+	156	139
gene-FAZ85_RS01545	NZ_SSTT01000001.1	303702	303953	+	252	286
gene-FAZ85_RS01550	NZ_SSTT01000001.1	304020	304298	+	279	192
gene-FAZ85_RS01555	NZ_SSTT01000001.1	304300	305655	+	1356	21
gene-FAZ85_RS01560	NZ_SSTT01000001.1	305704	305835	+	132	0
gene-FAZ85_RS01570	NZ_SSTT01000001.1	306655	306852	-	198	0
gene-FAZ85_RS01575	NZ_SSTT01000001.1	307569	308852	+	1284	1932
gene-FAZ85_RS01580	NZ_SSTT01000001.1	308941	310401	+	1461	1979
gene-FAZ85_RS01585	NZ_SSTT01000001.1	310437	310640	-	204	302
gene-FAZ85_RS01590	NZ_SSTT01000001.1	310818	311504	-	687	917
gene-FAZ85_RS01595	NZ_SSTT01000001.1	311593	312339	-	747	1026
gene-FAZ85_RS01600	NZ_SSTT01000001.1	312476	314521	+	2046	2427
gene-FAZ85_RS01605	NZ_SSTT01000001.1	314566	315084	-	519	779
gene-FAZ85_RS01610	NZ_SSTT01000001.1	315360	315752	+	393	704
gene-FAZ85_RS01615	NZ_SSTT01000001.1	316007	316897	+	891	1658
gene-FAZ85_RS25765	NZ_SSTT01000001.1	317012	317116	-	105	116
gene-FAZ85_RS01620	NZ_SSTT01000001.1	317116	317211	-	96	111
